Timestamp,SSID,BSSID,Channel,RSSI,Score,Reason
2026-02-11 06:03:24,Ma_Box_Orange,E8:ED:F3:11:22:33,1,-58,0,N/A
2026-02-11 06:03:24,iPhone_Guest,00:03:93:44:55:66,6,-71,0,N/A
2026-02-11 06:03:24,Ma_B0x_Orange,FF:EE:DD:44:55:66,1,-66,0,N/A
2026-02-11 06:03:24,Hacker_Device,00:C0:CA:88:99:AA,11,-57,0,N/A
2026-02-11 06:03:26,Ma_Box_Orange,E8:ED:F3:11:22:33,1,-58,1,N/A
2026-02-11 06:03:26,iPhone_Guest,00:03:93:44:55:66,6,-70,1,N/A
2026-02-11 06:03:26,Ma_B0x_Orange,FF:EE:DD:44:55:66,1,-67,1,N/A
2026-02-11 06:03:26,Hacker_Device,00:C0:CA:88:99:AA,11,-55,1,N/A
2026-02-11 06:03:27,Ma_Box_Orange,E8:ED:F3:11:22:33,1,-61,1,N/A
2026-02-11 06:03:27,iPhone_Guest,00:03:93:44:55:66,6,-69,1,N/A
2026-02-11 06:03:27,Ma_B0x_Orange,FF:EE:DD:44:55:66,1,-66,1,N/A
2026-02-11 06:03:27,Hacker_Device,00:C0:CA:88:99:AA,11,-55,1,N/A
2026-02-11 06:03:29,Ma_Box_Orange,E8:ED:F3:11:22:33,1,-62,1,N/A
2026-02-11 06:03:29,iPhone_Guest,00:03:93:44:55:66,6,-71,1,N/A
2026-02-11 06:03:29,Ma_B0x_Orange,FF:EE:DD:44:55:66,1,-63,1,N/A
2026-02-11 06:03:29,Hacker_Device,00:C0:CA:88:99:AA,11,-55,1,N/A
2026-02-11 06:03:30,Ma_Box_Orange,E8:ED:F3:11:22:33,1,-60,1,N/A
2026-02-11 06:03:30,iPhone_Guest,00:03:93:44:55:66,6,-70,1,N/A
2026-02-11 06:03:30,Ma_B0x_Orange,FF:EE:DD:44:55:66,1,-63,1,N/A
2026-02-11 06:03:30,Hacker_Device,00:C0:CA:88:99:AA,11,-55,1,N/A
2026-02-11 06:03:32,Ma_Box_Orange,E8:ED:F3:11:22:33,1,-60,1,N/A
2026-02-11 06:03:32,iPhone_Guest,00:03:93:44:55:66,6,-71,1,N/A
2026-02-11 06:03:32,Ma_B0x_Orange,FF:EE:DD:44:55:66,1,-64,1,N/A
2026-02-11 06:03:32,Hacker_Device,00:C0:CA:88:99:AA,11,-55,1,N/A
2026-02-11 06:03:32,Ma_Box_Orange,FF:FF:FF:EE:EE:EE,1,-35,1,N/A
2026-02-11 06:03:33,Ma_Box_Orange,E8:ED:F3:11:22:33,1,-59,4,N/A
2026-02-11 06:03:33,iPhone_Guest,00:03:93:44:55:66,6,-68,3,RSSI Spike (2.9σ)
2026-02-11 06:03:33,Ma_B0x_Orange,FF:EE:DD:44:55:66,1,-65,1,N/A
2026-02-11 06:03:33,Hacker_Device,00:C0:CA:88:99:AA,11,-56,1,N/A
2026-02-11 06:03:33,Ma_Box_Orange,FF:FF:FF:EE:EE:EE,1,-35,4,N/A
2026-02-11 06:03:35,Ma_Box_Orange,E8:ED:F3:11:22:33,1,-58,4,N/A
2026-02-11 06:03:35,iPhone_Guest,00:03:93:44:55:66,6,-69,3,RSSI Spike (2.9σ)
2026-02-11 06:03:35,Ma_B0x_Orange,FF:EE:DD:44:55:66,1,-63,1,N/A
2026-02-11 06:03:35,Hacker_Device,00:C0:CA:88:99:AA,11,-56,1,N/A
2026-02-11 06:03:35,Ma_Box_Orange,FF:FF:FF:EE:EE:EE,1,-35,4,N/A
2026-02-11 06:03:36,Ma_Box_Orange,E8:ED:F3:11:22:33,1,-59,4,N/A
2026-02-11 06:03:36,iPhone_Guest,00:03:93:44:55:66,6,-69,3,RSSI Spike (2.9σ)
2026-02-11 06:03:36,Ma_B0x_Orange,FF:EE:DD:44:55:66,1,-67,1,N/A
2026-02-11 06:03:36,Hacker_Device,00:C0:CA:88:99:AA,11,-53,3,RSSI Spike (3.3σ)
2026-02-11 06:03:36,Ma_Box_Orange,FF:FF:FF:EE:EE:EE,1,-35,4,N/A
2026-02-11 06:03:38,Ma_Box_Orange,E8:ED:F3:11:22:33,1,-59,4,N/A
2026-02-11 06:03:38,iPhone_Guest,00:03:93:44:55:66,6,-72,3,RSSI Spike (2.9σ)
2026-02-11 06:03:38,Ma_B0x_Orange,FF:EE:DD:44:55:66,1,-65,1,N/A
2026-02-11 06:03:38,Hacker_Device,00:C0:CA:88:99:AA,11,-56,3,RSSI Spike (3.3σ)
2026-02-11 06:03:38,Ma_Box_Orange,FF:FF:FF:EE:EE:EE,1,-35,4,N/A
2026-02-11 06:03:39,Ma_Box_Orange,E8:ED:F3:11:22:33,1,-62,4,N/A
2026-02-11 06:03:39,iPhone_Guest,00:03:93:44:55:66,6,-71,3,RSSI Spike (2.9σ)
2026-02-11 06:03:39,Ma_B0x_Orange,FF:EE:DD:44:55:66,1,-63,1,N/A
2026-02-11 06:03:39,Hacker_Device,00:C0:CA:88:99:AA,11,-57,3,RSSI Spike (3.3σ)
2026-02-11 06:03:39,Ma_Box_Orange,FF:FF:FF:EE:EE:EE,1,-35,4,N/A
2026-02-11 06:03:41,Ma_Box_Orange,E8:ED:F3:11:22:33,1,-58,4,N/A
2026-02-11 06:03:41,iPhone_Guest,00:03:93:44:55:66,6,-71,3,RSSI Spike (2.9σ)
2026-02-11 06:03:41,Ma_B0x_Orange,FF:EE:DD:44:55:66,1,-65,1,N/A
2026-02-11 06:03:41,Hacker_Device,00:C0:CA:88:99:AA,11,-55,3,RSSI Spike (3.3σ)
2026-02-11 06:03:41,Ma_Box_Orange,FF:FF:FF:EE:EE:EE,1,-35,4,N/A
2026-02-11 06:03:42,Ma_Box_Orange,E8:ED:F3:11:22:33,1,-59,4,N/A
2026-02-11 06:03:42,iPhone_Guest,00:03:93:44:55:66,6,-69,3,RSSI Spike (2.9σ)
2026-02-11 06:03:42,Ma_B0x_Orange,FF:EE:DD:44:55:66,1,-66,1,N/A
2026-02-11 06:03:42,Hacker_Device,00:C0:CA:88:99:AA,11,-54,3,RSSI Spike (3.3σ)
2026-02-11 06:03:42,Ma_Box_Orange,FF:FF:FF:EE:EE:EE,1,-35,4,N/A
2026-02-11 06:03:44,Ma_Box_Orange,E8:ED:F3:11:22:33,1,-59,4,N/A
2026-02-11 06:03:44,iPhone_Guest,00:03:93:44:55:66,6,-71,3,RSSI Spike (2.9σ)
2026-02-11 06:03:44,Ma_B0x_Orange,FF:EE:DD:44:55:66,1,-63,1,N/A
2026-02-11 06:03:44,Hacker_Device,00:C0:CA:88:99:AA,11,-57,3,RSSI Spike (3.3σ)
2026-02-11 06:03:44,Ma_Box_Orange,FF:FF:FF:EE:EE:EE,1,-35,4,N/A
2026-02-11 06:03:45,Ma_Box_Orange,E8:ED:F3:11:22:33,1,-61,4,N/A
2026-02-11 06:03:45,iPhone_Guest,00:03:93:44:55:66,6,-69,3,RSSI Spike (2.9σ)
2026-02-11 06:03:45,Ma_B0x_Orange,FF:EE:DD:44:55:66,1,-64,1,N/A
2026-02-11 06:03:45,Hacker_Device,00:C0:CA:88:99:AA,11,-53,3,RSSI Spike (3.3σ)
2026-02-11 06:03:45,Ma_Box_Orange,FF:FF:FF:EE:EE:EE,1,-35,4,N/A
