Time,SSID,BSSID,Vendor,RSSI,Score,Reason
06:13:59,Ma_Box_Orange,E8:ED:F3:11:22:33,Sagemcom (Orange),-40,1,
06:13:59,Hacker_Alfa,00:C0:CA:88:99:AA,Alfa Network,-50,1,
06:13:59,Ma_B0x_Orange,FF:EE:DD:44:55:66,Unknown,-63,1,
06:14:00,Ma_Box_Orange,E8:ED:F3:11:22:33,Sagemcom (Orange),-58,1,
06:14:00,Hacker_Alfa,00:C0:CA:88:99:AA,Alfa Network,-50,1,
06:14:00,Ma_B0x_Orange,FF:EE:DD:44:55:66,Unknown,-63,1,
06:14:02,Ma_Box_Orange,E8:ED:F3:11:22:33,Sagemcom (Orange),-62,1,
06:14:02,Hacker_Alfa,00:C0:CA:88:99:AA,Alfa Network,-51,1,
06:14:02,Ma_B0x_Orange,FF:EE:DD:44:55:66,Unknown,-67,1,
06:14:03,Ma_Box_Orange,E8:ED:F3:11:22:33,Sagemcom (Orange),-60,1,
06:14:03,Hacker_Alfa,00:C0:CA:88:99:AA,Alfa Network,-48,1,
06:14:03,Ma_B0x_Orange,FF:EE:DD:44:55:66,Unknown,-63,1,
06:14:05,Ma_Box_Orange,E8:ED:F3:11:22:33,Sagemcom (Orange),-59,1,
06:14:05,Hacker_Alfa,00:C0:CA:88:99:AA,Alfa Network,-50,1,
06:14:05,Ma_B0x_Orange,FF:EE:DD:44:55:66,Unknown,-67,1,
06:14:06,Ma_Box_Orange,E8:ED:F3:11:22:33,Sagemcom (Orange),-58,1,
06:14:06,Hacker_Alfa,00:C0:CA:88:99:AA,Alfa Network,-50,1,
06:14:06,Ma_B0x_Orange,FF:EE:DD:44:55:66,Unknown,-65,1,
06:14:08,Ma_Box_Orange,E8:ED:F3:11:22:33,Sagemcom (Orange),-60,1,
06:14:08,Hacker_Alfa,00:C0:CA:88:99:AA,Alfa Network,-52,1,
06:14:08,Ma_B0x_Orange,FF:EE:DD:44:55:66,Unknown,-64,1,
06:14:09,Ma_Box_Orange,E8:ED:F3:11:22:33,Sagemcom (Orange),-60,1,
06:14:09,Hacker_Alfa,00:C0:CA:88:99:AA,Alfa Network,-48,1,
06:14:09,Ma_B0x_Orange,FF:EE:DD:44:55:66,Unknown,-64,1,
06:14:11,Ma_Box_Orange,E8:ED:F3:11:22:33,Sagemcom (Orange),-40,3,RSSI Spike
06:14:11,Hacker_Alfa,00:C0:CA:88:99:AA,Alfa Network,-48,1,
